fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm,merge_name,fp_id,fantasypros_id,gsis_id,sleeper_id,birthdate,draft_year,position,age,pos_rank,player_id,hist_ppg,wgames,raw_games,ppg_sd,age_factor,hist_ppg_raw,market_ppg,w_hist,proj_ppg,exp_games,proj_pts,proj_sd,replacement,vorp
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Ja'Marr Chase,19788,WR,CIN,1.49,0.88,1,4,,jamarr-chase.php,,,99.9,,,,,,6.0,JaMarr Chase,2026-09-04,CIN,jamarr chase,19788,19788.0,00-0036900,7564.0,2000-03-01,2021.0,WR,26.5160848733744,1.0,00-0036900,22.557951400728523,16.28,49.0,14.636035864718744,0.9754432238193018,23.125847665847665,23.03346054788764,0.5765833333333333,22.759289898788147,15.959999999999999,363.2382667846588,83.9374565918712,161.78053356376364,201.45773322089514
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jahmyr Gibbs,22968,RB,DET,2.43,1.22,1,5,,jahmyr-gibbs.php,,,99.8,,,,,,6.0,Jahmyr Gibbs,2026-09-04,DET,jahmyr gibbs,22968,22968.0,00-0039139,9221.0,2002-03-20,2023.0,RB,24.465434633812457,1.0,00-0039139,24.224989480870164,16.76,49.0,12.86622835402136,1.0256839151266257,23.618377088305486,24.31872845288828,0.5935833333333334,24.263086561414525,16.04,389.179908445089,96.46743772760865,161.23689076876227,227.94301767632672
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Puka Nacua,23180,WR,LAR,3.43,1.62,1,9,,puka-nacua.php,,,99.8,,,,,,11.0,Puka Nacua,2026-09-04,LAR,puka nacua,23180,23180.0,00-0039075,9493.0,2001-05-29,2023.0,WR,25.27310061601643,2.0,00-0039075,23.508969695046755,14.719999999999999,44.0,11.718696944911612,0.9663072895277207,24.328668478260866,23.03346054788764,0.5213333333333333,23.28135931660659,14.959999999999999,348.28913537643456,82.32737039436924,161.78053356376364,186.50860181267092
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Bijan Robinson,23133,RB,ATL,4.19,1.3,2,5,,bijan-robinson.php,,,99.8,,,,,,11.0,Bijan Robinson,2026-09-04,ATL,bijan robinson,23133,23133.0,00-0038542,9509.0,2002-01-30,2023.0,RB,24.59958932238193,2.0,00-0038542,24.412467424906396,17.0,51.0,10.905914207707776,1.023805749486653,23.84482352941177,24.31872845288828,0.6020833333333333,24.375167125624188,16.439999999999998,400.7277475452616,98.0397108596219,161.23689076876227,239.49085677649933
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jaxon Smith-Njigba,23070,WR,SEA,4.61,1.44,1,9,,jaxon-smith-njigba.php,,,99.8,,,,,,11.0,Jaxon Smith-Njigba,2026-09-04,SEA,jaxon smith-njigba,23070,23070.0,00-0038543,9488.0,2002-02-14,2023.0,WR,24.55852156057495,3.0,00-0038543,20.227692275330355,17.0,51.0,10.236451763471674,0.9938128336755646,20.353623529411767,20.51026289413919,0.6020833333333333,20.340131834064703,16.36,332.7645568052985,80.7498348599142,161.78053356376364,170.98402324153489
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Amon-Ra St. Brown,19799,WR,DET,5.4,1.29,3,9,,amonra-stbrown.php,,,99.9,,,,,,6.0,Amon-Ra St Brown,2026-09-04,DET,amon-ra st brown,19799,19799.0,00-0036963,7547.0,1999-10-24,2021.0,WR,26.869267624914443,4.0,00-0036963,20.792833512948025,16.880000000000003,50.0,10.768674145740636,0.9780391170431212,21.259715639810427,20.51026289413919,0.5978333333333334,20.679193029083738,16.16,334.1757593499932,80.7716832976666,161.78053356376364,172.39522578622956
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,CeeDee Lamb,19202,WR,DAL,9.03,1.69,6,15,,ceedee-lamb.php,,,99.8,,,,,,14.0,CeeDee Lamb,2026-09-04,DAL,ceedee lamb,19202,19202.0,00-0036358,6786.0,1999-04-08,2020.0,WR,27.41409993155373,5.0,00-0036358,18.84969907670663,14.039999999999997,45.0,11.034657294912318,0.9572597535934292,19.69131054131055,18.84969907670663,0.49724999999999986,18.84969907670663,15.16,285.7614380028725,74.82943271166093,161.78053356376364,123.98090443910888
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Justin Jefferson,19236,WR,MIN,9.17,2.9,4,29,,justin-jefferson.php,,,99.8,,,,,,6.0,Justin Jefferson,2026-09-04,MIN,justin jefferson,19236,19236.0,00-0036322,6794.0,1999-06-16,2020.0,WR,27.225188227241617,6.0,00-0036322,15.622911036833917,16.16,44.0,10.135276542972914,0.9671776180698151,16.15309405940594,16.72478000433723,0.5723333333333334,16.0941436652695,14.959999999999999,240.7683892324317,69.74750427357196,161.78053356376364,78.98785566866806
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Christian McCaffrey,16393,RB,SF,9.58,4.48,5,24,,christian-mccaffrey.php,,,99.8,,,,,,8.0,Christian McCaffrey,2026-09-04,SFO,christian mccaffrey,16393,16393.0,00-0033280,4034.0,1996-06-07,2017.0,RB,30.24777549623545,3.0,00-0033280,22.076262100790412,13.239999999999998,37.0,11.321594012814229,0.8236993383527266,26.80135951661632,22.16001055594686,0.46891666666666665,22.12073950951642,13.64,301.72688690980397,84.6140836456182,161.23689076876227,140.4899961410417
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jonathan Taylor,19217,RB,IND,11.82,5.05,6,33,,jonathan-taylor.php,,,99.8,,,,,,13.0,Jonathan Taylor,2026-09-04,IND,jonathan taylor,19217,19217.0,00-0036223,6813.0,1999-01-19,2020.0,RB,27.630390143737166,4.0,00-0036223,22.24375901110331,15.319999999999999,41.0,13.11180521421859,0.9334647843942505,23.829242819843344,22.16001055594686,0.5425833333333333,22.205451071907163,14.44,320.64671347833945,87.46420703004398,161.23689076876227,159.40982270957718
