policy,slot,champ,wins,pts,playoff,secs
MLV,1,0.2433333396911621,8.703333854675293,2490.8525390625,0.7783333333333333,8.4
MLV,2,0.2133333384990692,8.710000038146973,2474.273193359375,0.795,2.4
MLV,3,0.1966666728258133,8.543334007263184,2458.21044921875,0.735,2.7
MLV,4,0.18166667222976685,8.460000038146973,2456.766357421875,0.7433333333333333,2.8
MLV,5,0.16833333671092987,8.273333549499512,2425.60546875,0.7,2.4
MLV,6,0.15833333134651184,8.073333740234375,2399.944580078125,0.6916666666666667,2.5
MLV,7,0.15000000596046448,7.9816670417785645,2398.25537109375,0.65,2.6
MLV,8,0.1733333319425583,8.135000228881836,2416.939208984375,0.7016666666666667,2.4
MLV,9,0.1666666716337204,8.154999732971191,2404.038818359375,0.68,2.5
MLV,10,0.148333340883255,7.930000305175781,2396.08154296875,0.6533333333333333,2.5
MLV,11,0.16333334147930145,8.110000610351562,2419.032958984375,0.67,2.4
MLV,12,0.15000000596046448,8.213333129882812,2402.147705078125,0.7083333333333334,2.4
MLV_VONA,1,0.22500000894069672,8.818333625793457,2501.025634765625,0.8,23.3
MLV_VONA,2,0.2133333384990692,8.816666603088379,2488.15087890625,0.7833333333333333,23.3
MLV_VONA,3,0.2133333384990692,8.680000305175781,2476.469970703125,0.7683333333333333,24.8
MLV_VONA,4,0.2083333432674408,8.571666717529297,2471.721923828125,0.7633333333333333,25.7
MLV_VONA,5,0.17666667699813843,8.40000057220459,2444.03955078125,0.7233333333333334,25.0
MLV_VONA,6,0.148333340883255,8.220000267028809,2420.899658203125,0.7316666666666667,25.1
MLV_VONA,7,0.15000000596046448,8.12166690826416,2419.24755859375,0.7,25.5
MLV_VONA,8,0.1783333420753479,8.364999771118164,2438.8466796875,0.73,25.6
MLV_VONA,9,0.15333333611488342,8.324999809265137,2422.465576171875,0.725,25.5
MLV_VONA,10,0.15333333611488342,8.078333854675293,2413.466796875,0.6916666666666667,23.5
MLV_VONA,11,0.16833333671092987,8.298333168029785,2438.40185546875,0.7083333333333334,23.5
MLV_VONA,12,0.17666667699813843,8.338333129882812,2422.03955078125,0.7233333333333334,24.6
BPA,1,0.2083333432674408,8.663333892822266,2487.24267578125,0.7633333333333333,2.9
BPA,2,0.20499999821186066,8.553333282470703,2454.156005859375,0.765,2.9
BPA,3,0.18166667222976685,8.505000114440918,2446.695068359375,0.7366666666666667,3.2
BPA,4,0.1783333420753479,8.420000076293945,2451.4130859375,0.73,3.4
BPA,5,0.17166666686534882,8.296667098999023,2429.988525390625,0.725,3.0
BPA,6,0.1366666704416275,8.065000534057617,2406.876220703125,0.6766666666666666,3.6
BPA,7,0.15000000596046448,8.070000648498535,2409.566650390625,0.6766666666666666,3.5
BPA,8,0.17166666686534882,8.289999961853027,2427.2685546875,0.725,2.8
BPA,9,0.1666666716337204,8.235000610351562,2408.91259765625,0.715,3.1
BPA,10,0.1366666704416275,7.985000133514404,2394.50048828125,0.675,3.0
BPA,11,0.16833333671092987,8.065000534057617,2408.90283203125,0.6866666666666666,3.2
BPA,12,0.15166667103767395,8.083333969116211,2391.65625,0.685,2.7
ECR,1,0.1850000023841858,8.351666450500488,2446.0048828125,0.7183333333333334,2.9
ECR,2,0.18666666746139526,8.373333930969238,2439.53759765625,0.7433333333333333,2.7
ECR,3,0.16333334147930145,8.298333168029785,2429.465087890625,0.7033333333333334,2.8
ECR,4,0.1966666728258133,8.230000495910645,2438.310546875,0.7066666666666667,2.7
ECR,5,0.1599999964237213,8.098333358764648,2418.31103515625,0.6666666666666666,3.1
ECR,6,0.148333340883255,7.983333587646484,2394.7255859375,0.6583333333333333,2.9
ECR,7,0.125,7.848333358764648,2388.020751953125,0.6216666666666667,3.2
ECR,8,0.148333340883255,7.99666690826416,2403.966796875,0.6683333333333333,2.9
ECR,9,0.13500000536441803,7.87333345413208,2375.79736328125,0.6466666666666666,3.1
ECR,10,0.13833333551883698,7.793333530426025,2377.072265625,0.645,2.8
ECR,11,0.11666666716337204,7.913333415985107,2394.433837890625,0.6583333333333333,2.5
ECR,12,0.12166666984558105,7.7833333015441895,2370.167236328125,0.6133333333333333,2.4
ZERO_RB,1,0.19833333790302277,8.605000495910645,2477.790771484375,0.78,2.5
ZERO_RB,2,0.17166666686534882,8.529999732971191,2456.16650390625,0.765,2.7
ZERO_RB,3,0.1550000011920929,8.241666793823242,2427.374267578125,0.71,2.9
ZERO_RB,4,0.1550000011920929,8.081666946411133,2415.085205078125,0.695,2.6
ZERO_RB,5,0.12666666507720947,7.921666622161865,2387.487548828125,0.635,2.6
ZERO_RB,6,0.13500000536441803,7.740000247955322,2371.718505859375,0.6216666666666667,2.8
ZERO_RB,7,0.1133333370089531,7.705000400543213,2368.685546875,0.62,2.9
ZERO_RB,8,0.1433333307504654,7.900000095367432,2393.2763671875,0.6666666666666666,3.3
ZERO_RB,9,0.1300000101327896,7.868333339691162,2373.0537109375,0.6466666666666666,3.0
ZERO_RB,10,0.12666666507720947,7.644999980926514,2363.54736328125,0.5983333333333334,2.7
ZERO_RB,11,0.12666666507720947,7.818333625793457,2385.6357421875,0.63,2.8
ZERO_RB,12,0.13333334028720856,7.833333492279053,2369.657470703125,0.655,2.4
HERO_RB,1,0.23333333432674408,8.744999885559082,2492.531982421875,0.7883333333333333,2.6
HERO_RB,2,0.1899999976158142,8.670000076293945,2470.500732421875,0.775,2.7
HERO_RB,3,0.18000000715255737,8.505000114440918,2453.26171875,0.7433333333333333,2.4
HERO_RB,4,0.18666666746139526,8.380000114440918,2448.2470703125,0.7316666666666667,2.5
HERO_RB,5,0.17166666686534882,8.176667213439941,2417.771484375,0.685,2.4
HERO_RB,6,0.13833333551883698,7.980000019073486,2390.285400390625,0.6883333333333334,2.7
HERO_RB,7,0.125,7.850000381469727,2386.81005859375,0.635,2.7
HERO_RB,8,0.1666666716337204,8.053333282470703,2405.933349609375,0.6833333333333333,2.4
HERO_RB,9,0.14500001072883606,8.033333778381348,2391.492919921875,0.67,2.9
HERO_RB,10,0.14166666567325592,7.821666717529297,2382.569091796875,0.6233333333333333,2.5
HERO_RB,11,0.14500001072883606,7.9816670417785645,2406.698486328125,0.6516666666666666,2.8
HERO_RB,12,0.13833333551883698,8.051667213439941,2390.28662109375,0.6833333333333333,2.3
ROBUST_RB,1,0.21833333373069763,8.526666641235352,2463.35986328125,0.765,2.6
ROBUST_RB,2,0.20666667819023132,8.65999984741211,2468.52001953125,0.7833333333333333,2.5
ROBUST_RB,3,0.20499999821186066,8.489999771118164,2451.505859375,0.7333333333333333,2.5
ROBUST_RB,4,0.18833333253860474,8.445000648498535,2451.030517578125,0.7416666666666667,2.6
ROBUST_RB,5,0.1433333307504654,8.301667213439941,2430.522705078125,0.7016666666666667,2.4
ROBUST_RB,6,0.17499999701976776,8.221667289733887,2417.985595703125,0.7066666666666667,2.3
ROBUST_RB,7,0.1550000011920929,8.231666564941406,2426.644775390625,0.7016666666666667,2.8
ROBUST_RB,8,0.20000000298023224,8.388333320617676,2443.458251953125,0.7266666666666667,2.4
ROBUST_RB,9,0.15166667103767395,8.380000114440918,2431.9052734375,0.725,2.9
ROBUST_RB,10,0.16166667640209198,8.216667175292969,2422.563720703125,0.7033333333333334,2.8
ROBUST_RB,11,0.16833333671092987,8.266666412353516,2440.3408203125,0.6916666666666667,2.9
ROBUST_RB,12,0.15166667103767395,8.323333740234375,2417.751708984375,0.7116666666666667,2.7
